,BIMODAL_IPC,BIMODAL_MPKI,GAG_IPC,GAG_MPKI,GAP_IPC,GAP_MPKI,PAP_IPC,PAP_MPKI
600.perlbench,2.146,3.625,2.048,4.478,2.151,3.485,2.365,2.01
602.gcc,0.2381,19.85,0.2751,9.089,0.2386,19.82,0.274,9.568
603.bwaves,0.8715,1.636,0.8894,0.2752,0.8831,1.636,0.8913,0.0028
605.mcf,0.2402,0.03768,0.2405,0.02256,0.2403,0.03784,0.2404,0.02188
607.cactuBSSN,1.639,0.7521,1.641,0.9362,1.638,0.7481,1.639,0.75
619.lbm,0.4694,0.7376,0.4692,0.4444,0.4694,0.7376,0.4695,0.4631
620.omnetpp,0.264,14.98,0.2563,16.7,0.2655,14.47,0.2537,16.74
621.wrf,1.171,9.201,1.199,7.643,1.177,9.048,1.237,6.271
623.xalancbmk,0.5008,9.701,0.4666,12.43,0.5008,9.701,0.5008,9.706
625.x264,2.378,4.432,2.734,1.622,2.671,2.21,2.786,1.468
627.cam4,1.012,10.5,1.15,5.244,1.145,5.361,1.056,8.611
628.pop2,1.219,4.069,1.229,3.725,1.245,3.285,1.239,3.4
631.deepsjeng,1.075,14.97,1.05,15.98,1.154,12.35,0.9854,18.54
638.imagick,3.341,0.313,3.341,0.3158,3.341,0.3132,3.341,0.3135
641.leela,0.8629,18.82,0.8532,19.38,0.9066,16.43,0.8457,20.0
644.nab,1.382,12.64,1.787,6.806,1.455,11.33,1.765,7.188
648.exchange2,1.234,21.1,1.779,10.23,1.622,12.89,1.534,14.44
649.fotonik3d,0.3926,0.0044,0.3925,0.0066,0.3926,0.0044,0.3926,0.0044
654.roms,1.307,0.02152,1.306,0.02448,1.313,0.02288,1.308,0.02484
657.xz,1.404,14.95,1.256,18.87,1.419,14.69,1.409,14.86
GMEAN,0.9071136830454053,2.321894785467444,0.94387065593479,1.786540881973244,0.9417480705341525,2.042765925407804,0.9466261466073506,1.340529163286303
