,LRU_IPC,LRU_MISS,PLRU_IPC,PLRU_MISS,SRRIP_IPC,SRRIP_MISS,LIP_IPC,LIP_MISS,BIP_IPC,BIP_MISS
600.perlbench,2.326,67.36842105263158,2.326,67.36842105263158,2.326,67.36842105263158,2.326,67.36842105263158,2.326,67.36842105263158
602.gcc,0.2524,73.86100015769203,0.2524,73.86100015769203,0.2524,73.86088008271503,0.2524,73.86088008271503,0.2525,73.86088008271503
603.bwaves,0.8841,63.64816872413957,0.884,63.595568811248405,0.8685,63.73853304799422,0.8683,63.740138025048985,0.8696,63.72781337253773
605.mcf,0.2404,57.97290461094733,0.2376,57.90869631781261,0.1277,58.650997595681744,0.1284,58.69560203234694,0.1549,58.29156579949311
607.cactuBSSN,1.644,5.117198919886578,1.641,5.15245547557601,1.361,5.1890830675705235,1.359,5.1735385632900925,1.374,5.113509747471768
619.lbm,0.4697,33.783490758585714,0.4691,33.76271519822216,0.4839,33.74938013627819,0.4823,33.79291958326792,0.4766,33.73570923714861
620.omnetpp,0.2743,55.973298753352395,0.2734,55.967521686593116,0.2572,55.9688478478508,0.2576,55.95749446870051,0.2612,55.99924548914507
621.wrf,1.306,76.62192393736018,1.306,76.62192393736018,1.306,76.62192393736018,1.306,76.62192393736018,1.306,76.62192393736018
623.xalancbmk,0.5303,99.92916343487975,0.5343,99.92916373267191,0.9421,99.92895323735715,0.9421,99.92895323735715,0.9259,99.92895338669537
625.x264,2.682,57.73814484540378,2.682,57.73814484540378,2.682,57.73814484540378,2.682,57.73814484540378,2.682,57.73814484540378
627.cam4,1.141,46.79261553755335,1.129,46.79720577050908,1.094,46.794800777308346,1.111,46.79416066699304,1.098,46.79395049973352
628.pop2,1.278,30.73262838876954,1.268,30.73617083950889,1.15,30.772956282782605,1.153,30.76338217673589,1.157,30.831392687247465
631.deepsjeng,1.297,27.418308030927253,1.297,27.418308030927253,1.297,27.418308030927253,1.297,27.418308030927253,1.297,27.418308030927253
638.imagick,3.378,0.4513416871923945,3.378,0.4513416871923945,3.378,0.4513416871923945,3.378,0.4513416871923945,3.378,0.4513416871923945
641.leela,1.049,33.125237055488924,1.048,33.125237055488924,1.055,33.125237055488924,1.054,33.125237055488924,1.054,33.125237055488924
644.nab,1.69,15.384711536658688,1.69,15.384711536658688,1.69,15.384711536658688,1.69,15.384711536658688,1.69,15.384711536658688
648.exchange2,1.723,12.419609910384818,1.723,12.419609910384818,1.723,12.419609910384818,1.723,12.419609910384818,1.723,12.419609910384818
649.fotonik3d,0.3923,43.48163271195244,0.3921,43.47676314422578,0.4009,43.48163271195244,0.4031,43.48163271195244,0.4023,43.48163271195244
654.roms,1.305,58.81047834856445,1.304,58.8143743292071,1.481,58.78902554399244,1.464,58.797196529273364,1.48,58.80113632119747
657.xz,1.824,31.193942067343038,1.824,31.193942067343038,1.824,31.193942067343038,1.824,31.193942067343038,1.824,31.193942067343038
GMEAN,0.9944459785507198,31.076416360427594,0.9928877168610847,31.083223609494226,0.9799861345018877,31.1182378404959,0.9806239261146676,31.11619311666927,0.9897723692026722,31.089057046281134
